"","missing.age.mar.sex.05","missing.age.mar.sex.25","missing.age.mar.sex.50","missing.age.mcar.05","missing.age.mcar.25","missing.age.mcar.50","missing.age.mnar.05","missing.age.mnar.25","missing.age.mnar.50","missing.usr.mar.sex.05","missing.usr.mar.sex.25","missing.usr.mar.sex.50","missing.usr.mcar.05","missing.usr.mcar.25","missing.usr.mcar.50","missing.usr.mnar.05","missing.usr.mnar.25","missing.usr.mnar.50","missing.y1v19.mar.sex.05","missing.y1v19.mar.sex.25","missing.y1v19.mar.sex.50","missing.y1v19.mcar.05","missing.y1v19.mcar.25","missing.y1v19.mcar.50","missing.y1v19.mnar.05","missing.y1v19.mnar.25","missing.y1v19.mnar.50"
"X",4.74226804123711,22.9896907216495,47.0103092783505,4.74226804123711,27.4226804123711,49.3814432989691,4.94845360824742,22.3711340206186,50.1030927835052,3.50515463917526,23.2989690721649,46.8041237113402,3.81443298969072,25.360824742268,47.1134020618557,7.31958762886598,23.7113402061856,47.9381443298969,5.25773195876289,22.680412371134,47.9381443298969,5.25773195876289,25.979381443299,52.680412371134,4.84536082474227,28.1443298969072,51.5463917525773
"X.1",4.74226804123711,24.5360824742268,50.2061855670103,5.4639175257732,24.020618556701,52.4742268041237,4.63917525773196,25.8762886597938,50.6185567010309,4.94845360824742,25.2577319587629,48.9690721649485,4.43298969072165,26.0824742268041,47.9381443298969,4.94845360824742,25.4639175257732,48.2474226804124,4.32989690721649,23.5051546391753,45.360824742268,6.39175257731959,23.2989690721649,50.6185567010309,6.28865979381443,25.1546391752577,51.4432989690722
"X.2",4.63917525773196,23.8144329896907,47.319587628866,4.43298969072165,24.3298969072165,47.6288659793814,4.43298969072165,23.9175257731959,51.7525773195876,5.36082474226804,23.8144329896907,46.5979381443299,3.81443298969072,25.6701030927835,48.7628865979381,5.36082474226804,25.4639175257732,49.6907216494845,5.67010309278351,23.7113402061856,47.4226804123711,5.56701030927835,27.6288659793814,49.0721649484536,4.74226804123711,26.3917525773196,50.5154639175258
"X.3",4.63917525773196,25.5670103092783,46.8041237113402,5.05154639175258,25.8762886597938,52.1649484536083,4.94845360824742,23.4020618556701,52.0618556701031,3.71134020618557,24.639175257732,46.3917525773196,4.32989690721649,27.319587628866,50.5154639175258,4.74226804123711,23.0927835051546,51.4432989690722,3.19587628865979,23.8144329896907,49.2783505154639,5.56701030927835,24.639175257732,50.5154639175258,4.94845360824742,25.4639175257732,50.4123711340206
"X.4",5.67010309278351,23.9175257731959,48.5567010309278,5.25773195876289,27.319587628866,50.1030927835052,4.84536082474227,25.6701030927835,51.6494845360825,5.56701030927835,23.8144329896907,50.7216494845361,4.43298969072165,26.1855670103093,48.0412371134021,5.97938144329897,24.9484536082474,45.979381443299,5.15463917525773,24.4329896907216,48.8659793814433,6.70103092783505,26.1855670103093,49.4845360824742,6.08247422680412,24.7422680412371,51.4432989690722
"X.5",4.84536082474227,24.639175257732,49.5876288659794,5.77319587628866,24.8453608247423,51.340206185567,4.5360824742268,26.4948453608247,50.6185567010309,5.15463917525773,27.0103092783505,47.1134020618557,5.67010309278351,23.8144329896907,50.6185567010309,5.25773195876289,23.8144329896907,50.3092783505155,6.08247422680412,22.9896907216495,50.1030927835052,5.25773195876289,23.9175257731959,47.4226804123711,5.15463917525773,28.1443298969072,50.5154639175258
"X.6",4.74226804123711,24.4329896907216,46.5979381443299,5.36082474226804,27.1134020618557,49.1752577319588,6.18556701030928,24.9484536082474,49.0721649484536,4.84536082474227,23.6082474226804,47.319587628866,4.84536082474227,25.0515463917526,49.5876288659794,5.67010309278351,25.5670103092783,50.2061855670103,5.87628865979381,22.2680412371134,50,4.43298969072165,24.8453608247423,51.1340206185567,5.05154639175258,24.020618556701,51.340206185567
"X.7",4.43298969072165,22.3711340206186,46.3917525773196,5.05154639175258,27.0103092783505,52.0618556701031,4.63917525773196,24.5360824742268,51.340206185567,4.02061855670103,23.7113402061856,46.4948453608247,4.22680412371134,25.2577319587629,48.659793814433,5.36082474226804,24.7422680412371,51.340206185567,4.02061855670103,24.5360824742268,47.5257731958763,4.74226804123711,27.0103092783505,48.3505154639175,5.05154639175258,27.6288659793814,49.7938144329897
"X.8",4.63917525773196,23.0927835051546,48.5567010309278,5.36082474226804,25.979381443299,52.680412371134,5.4639175257732,26.9072164948454,50.1030927835052,5.05154639175258,24.1237113402062,46.0824742268041,4.84536082474227,25.5670103092783,49.0721649484536,4.12371134020619,25.360824742268,49.5876288659794,4.43298969072165,21.4432989690722,46.8041237113402,5.05154639175258,25.0515463917526,48.0412371134021,5.15463917525773,25.7731958762887,53.5051546391753
"X.9",4.43298969072165,25.979381443299,48.1443298969072,5.05154639175258,24.5360824742268,50.9278350515464,4.63917525773196,27.6288659793814,52.2680412371134,4.43298969072165,25.8762886597938,47.5257731958763,5.67010309278351,23.6082474226804,49.2783505154639,5.67010309278351,27.0103092783505,49.6907216494845,4.32989690721649,22.2680412371134,47.7319587628866,5.36082474226804,24.5360824742268,50.1030927835052,6.18556701030928,24.9484536082474,47.0103092783505
"X.10",5.77319587628866,24.7422680412371,45.5670103092784,4.63917525773196,27.4226804123711,48.1443298969072,4.74226804123711,24.8453608247423,49.4845360824742,4.5360824742268,23.6082474226804,46.3917525773196,4.63917525773196,26.1855670103093,50.5154639175258,6.28865979381443,23.0927835051546,50.2061855670103,4.12371134020619,25.4639175257732,48.2474226804124,5.15463917525773,24.8453608247423,51.1340206185567,4.94845360824742,28.2474226804124,50.8247422680412
"X.11",4.43298969072165,26.2886597938144,46.2886597938144,5.05154639175258,24.4329896907216,52.3711340206186,3.60824742268041,24.8453608247423,50,4.12371134020619,24.3298969072165,45.4639175257732,3.81443298969072,23.7113402061856,50,4.84536082474227,24.2268041237113,52.8865979381443,4.32989690721649,22.9896907216495,48.7628865979381,4.12371134020619,25.5670103092783,47.7319587628866,5.4639175257732,22.680412371134,53.1958762886598
"X.12",5.36082474226804,22.1649484536082,48.8659793814433,4.12371134020619,24.020618556701,48.9690721649485,5.97938144329897,23.9175257731959,51.9587628865979,4.74226804123711,22.9896907216495,49.7938144329897,5.15463917525773,26.5979381443299,50.8247422680412,4.74226804123711,26.0824742268041,48.0412371134021,4.43298969072165,25.5670103092783,45.360824742268,4.32989690721649,24.8453608247423,49.8969072164948,4.84536082474227,25.5670103092783,49.4845360824742
"X.13",5.15463917525773,23.5051546391753,46.0824742268041,5.15463917525773,26.8041237113402,49.7938144329897,4.22680412371134,26.0824742268041,48.9690721649485,5.36082474226804,26.0824742268041,46.701030927835,4.02061855670103,25.5670103092783,50.6185567010309,4.84536082474227,24.2268041237113,49.0721649484536,4.74226804123711,25.4639175257732,45.2577319587629,5.05154639175258,24.9484536082474,47.8350515463918,5.25773195876289,24.9484536082474,50.9278350515464
"X.14",4.84536082474227,23.6082474226804,48.3505154639175,4.32989690721649,22.4742268041237,47.8350515463918,5.25773195876289,25.6701030927835,49.7938144329897,4.5360824742268,21.6494845360825,46.2886597938144,6.28865979381443,24.020618556701,48.9690721649485,4.32989690721649,23.2989690721649,50,5.36082474226804,25.2577319587629,48.7628865979381,5.15463917525773,24.7422680412371,53.1958762886598,5.56701030927835,24.020618556701,50.6185567010309
"X.15",4.94845360824742,24.9484536082474,45.4639175257732,5.4639175257732,27.7319587628866,50.1030927835052,6.5979381443299,27.4226804123711,48.1443298969072,6.39175257731959,23.8144329896907,43.7113402061856,5.56701030927835,24.8453608247423,52.680412371134,5.05154639175258,25.5670103092783,50.2061855670103,5.25773195876289,24.4329896907216,47.0103092783505,5.05154639175258,25.360824742268,49.8969072164948,4.84536082474227,25.8762886597938,50.4123711340206
"X.16",4.74226804123711,24.639175257732,47.2164948453608,6.28865979381443,26.2886597938144,51.5463917525773,3.91752577319588,24.2268041237113,47.7319587628866,4.32989690721649,24.2268041237113,48.9690721649485,5.77319587628866,21.9587628865979,48.5567010309278,5.4639175257732,25.7731958762887,52.680412371134,5.05154639175258,26.2886597938144,46.701030927835,4.84536082474227,27.6288659793814,51.9587628865979,4.84536082474227,25.4639175257732,51.4432989690722
"X.17",4.74226804123711,23.6082474226804,47.5257731958763,5.67010309278351,24.1237113402062,49.7938144329897,5.36082474226804,25.4639175257732,52.1649484536083,5.36082474226804,23.6082474226804,49.4845360824742,6.49484536082474,23.2989690721649,51.1340206185567,5.15463917525773,27.319587628866,48.4536082474227,4.32989690721649,25.7731958762887,47.9381443298969,4.43298969072165,25.0515463917526,50.7216494845361,4.02061855670103,23.7113402061856,49.5876288659794
"X.18",4.32989690721649,25.0515463917526,46.5979381443299,3.91752577319588,26.5979381443299,51.4432989690722,5.25773195876289,26.0824742268041,50.7216494845361,5.05154639175258,24.020618556701,45.4639175257732,5.4639175257732,22.9896907216495,49.7938144329897,3.91752577319588,22.7835051546392,50.6185567010309,6.39175257731959,21.8556701030928,47.1134020618557,4.94845360824742,24.639175257732,51.1340206185567,5.25773195876289,25.5670103092783,53.0927835051546
"X.19",4.43298969072165,25.0515463917526,48.4536082474227,4.32989690721649,25.2577319587629,52.0618556701031,5.67010309278351,23.8144329896907,49.8969072164948,5.97938144329897,23.9175257731959,48.3505154639175,4.84536082474227,25.7731958762887,50.2061855670103,5.36082474226804,24.4329896907216,47.8350515463918,3.50515463917526,21.1340206185567,47.0103092783505,3.71134020618557,24.020618556701,50.4123711340206,5.05154639175258,25.8762886597938,51.5463917525773
"X.20",4.5360824742268,21.1340206185567,46.2886597938144,5.67010309278351,24.3298969072165,50.4123711340206,5.36082474226804,25.5670103092783,49.5876288659794,4.94845360824742,25.4639175257732,48.2474226804124,4.43298969072165,24.639175257732,49.7938144329897,5.56701030927835,23.5051546391753,49.3814432989691,5.67010309278351,26.1855670103093,46.0824742268041,5.87628865979381,26.4948453608247,52.5773195876289,4.74226804123711,25.6701030927835,48.7628865979381
"X.21",5.05154639175258,25.1546391752577,47.5257731958763,4.84536082474227,24.9484536082474,50.4123711340206,5.15463917525773,26.9072164948454,50.3092783505155,4.94845360824742,23.2989690721649,47.6288659793814,5.77319587628866,25.8762886597938,44.7422680412371,5.05154639175258,25.979381443299,49.6907216494845,4.74226804123711,24.8453608247423,46.4948453608247,5.56701030927835,25.7731958762887,50.9278350515464,5.56701030927835,27.2164948453608,49.5876288659794
"X.22",3.91752577319588,22.0618556701031,47.5257731958763,3.91752577319588,24.8453608247423,48.0412371134021,5.4639175257732,25.7731958762887,51.0309278350515,3.71134020618557,22.0618556701031,52.0618556701031,5.97938144329897,23.5051546391753,52.7835051546392,4.74226804123711,23.7113402061856,49.4845360824742,4.43298969072165,22.5773195876289,47.0103092783505,5.4639175257732,24.1237113402062,49.7938144329897,4.5360824742268,24.2268041237113,51.8556701030928
"X.23",4.32989690721649,22.7835051546392,49.3814432989691,5.36082474226804,26.3917525773196,49.6907216494845,4.5360824742268,25.360824742268,50,6.80412371134021,24.2268041237113,47.6288659793814,5.36082474226804,25.6701030927835,50.6185567010309,5.67010309278351,25.2577319587629,50.5154639175258,3.50515463917526,22.4742268041237,46.1855670103093,5.56701030927835,25.5670103092783,50,4.43298969072165,24.8453608247423,51.6494845360825
"X.24",5.56701030927835,21.9587628865979,47.9381443298969,4.74226804123711,26.7010309278351,50.1030927835052,4.32989690721649,24.4329896907216,50.2061855670103,5.05154639175258,25.2577319587629,47.0103092783505,4.12371134020619,24.3298969072165,47.5257731958763,4.63917525773196,23.6082474226804,49.6907216494845,5.77319587628866,26.4948453608247,46.8041237113402,3.71134020618557,23.7113402061856,51.1340206185567,5.05154639175258,25.8762886597938,49.2783505154639
"X.25",5.4639175257732,24.5360824742268,48.7628865979381,4.32989690721649,27.319587628866,50.7216494845361,4.63917525773196,26.1855670103093,49.0721649484536,4.12371134020619,26.1855670103093,48.2474226804124,4.5360824742268,25.5670103092783,50.4123711340206,5.56701030927835,24.8453608247423,47.9381443298969,4.94845360824742,23.6082474226804,48.0412371134021,5.15463917525773,24.4329896907216,50.7216494845361,5.4639175257732,27.0103092783505,49.6907216494845
"X.26",3.81443298969072,25.0515463917526,47.1134020618557,4.5360824742268,25.7731958762887,49.0721649484536,4.43298969072165,26.2886597938144,51.6494845360825,4.5360824742268,22.680412371134,47.319587628866,6.49484536082474,25.5670103092783,50.1030927835052,4.5360824742268,22.5773195876289,51.5463917525773,3.4020618556701,22.7835051546392,47.4226804123711,5.15463917525773,26.1855670103093,50.7216494845361,5.67010309278351,23.9175257731959,51.0309278350515
"X.27",5.05154639175258,24.1237113402062,45.7731958762887,5.67010309278351,23.9175257731959,45.5670103092784,6.49484536082474,24.639175257732,49.6907216494845,4.74226804123711,24.9484536082474,46.2886597938144,5.05154639175258,23.5051546391753,48.7628865979381,4.5360824742268,25.979381443299,51.9587628865979,5.56701030927835,25.2577319587629,45.4639175257732,5.77319587628866,25.7731958762887,49.0721649484536,5.56701030927835,24.2268041237113,51.4432989690722
"X.28",4.84536082474227,24.8453608247423,46.4948453608247,5.4639175257732,26.5979381443299,48.5567010309278,5.05154639175258,23.9175257731959,48.3505154639175,4.84536082474227,23.5051546391753,49.4845360824742,4.94845360824742,26.2886597938144,48.2474226804124,3.71134020618557,25.1546391752577,49.6907216494845,4.94845360824742,22.4742268041237,49.5876288659794,6.08247422680412,26.2886597938144,49.6907216494845,4.63917525773196,25.1546391752577,52.1649484536083
"X.29",5.15463917525773,22.9896907216495,45.5670103092784,4.43298969072165,24.5360824742268,53.4020618556701,4.43298969072165,23.2989690721649,49.2783505154639,3.91752577319588,22.680412371134,49.1752577319588,5.56701030927835,27.8350515463918,51.6494845360825,4.63917525773196,23.9175257731959,48.659793814433,4.32989690721649,23.2989690721649,46.2886597938144,5.05154639175258,23.7113402061856,49.6907216494845,5.4639175257732,24.1237113402062,49.4845360824742
"X.30",5.36082474226804,23.9175257731959,46.9072164948454,5.67010309278351,24.3298969072165,49.0721649484536,3.50515463917526,28.0412371134021,52.2680412371134,4.63917525773196,25.979381443299,50.3092783505155,5.67010309278351,22.7835051546392,51.4432989690722,5.4639175257732,26.0824742268041,50.4123711340206,5.77319587628866,23.2989690721649,48.3505154639175,5.15463917525773,26.0824742268041,49.8969072164948,5.05154639175258,24.2268041237113,50.3092783505155
"X.31",4.94845360824742,25.0515463917526,46.0824742268041,5.97938144329897,23.1958762886598,49.6907216494845,5.77319587628866,26.1855670103093,50.6185567010309,4.84536082474227,23.5051546391753,47.5257731958763,5.25773195876289,23.8144329896907,50.3092783505155,4.63917525773196,23.0927835051546,50.1030927835052,4.94845360824742,23.5051546391753,47.8350515463918,5.97938144329897,27.0103092783505,51.6494845360825,4.63917525773196,25.2577319587629,51.7525773195876
"X.32",5.4639175257732,23.6082474226804,47.1134020618557,4.74226804123711,24.7422680412371,52.2680412371134,4.22680412371134,26.2886597938144,45.979381443299,4.12371134020619,24.2268041237113,49.1752577319588,5.25773195876289,26.9072164948454,49.4845360824742,5.87628865979381,24.7422680412371,50.3092783505155,5.56701030927835,24.9484536082474,48.3505154639175,4.74226804123711,24.2268041237113,50.5154639175258,5.87628865979381,27.1134020618557,51.4432989690722
"X.33",4.74226804123711,24.4329896907216,48.3505154639175,5.4639175257732,22.7835051546392,48.5567010309278,5.25773195876289,25.979381443299,50.7216494845361,4.84536082474227,21.4432989690722,50.8247422680412,4.02061855670103,26.8041237113402,49.4845360824742,5.4639175257732,25.1546391752577,50.7216494845361,5.36082474226804,24.020618556701,48.659793814433,5.97938144329897,23.6082474226804,46.3917525773196,4.94845360824742,25.7731958762887,52.680412371134
"X.34",3.91752577319588,21.7525773195876,46.0824742268041,5.36082474226804,24.9484536082474,52.9896907216495,4.12371134020619,25.8762886597938,51.4432989690722,3.50515463917526,23.4020618556701,48.1443298969072,4.5360824742268,23.6082474226804,48.8659793814433,5.15463917525773,24.3298969072165,51.340206185567,3.71134020618557,24.1237113402062,48.4536082474227,6.49484536082474,22.1649484536082,51.6494845360825,4.43298969072165,24.020618556701,50
"X.35",5.4639175257732,23.4020618556701,47.4226804123711,4.94845360824742,24.9484536082474,49.7938144329897,4.32989690721649,25.8762886597938,51.1340206185567,4.43298969072165,23.9175257731959,48.5567010309278,4.32989690721649,26.8041237113402,47.4226804123711,5.67010309278351,25.2577319587629,50.1030927835052,4.94845360824742,22.9896907216495,46.3917525773196,4.74226804123711,23.6082474226804,49.2783505154639,3.91752577319588,26.2886597938144,53.1958762886598
"X.36",4.5360824742268,23.6082474226804,47.319587628866,4.94845360824742,26.5979381443299,49.6907216494845,4.12371134020619,23.9175257731959,51.5463917525773,5.97938144329897,21.5463917525773,49.5876288659794,5.67010309278351,25.0515463917526,51.1340206185567,5.56701030927835,24.3298969072165,50.2061855670103,4.94845360824742,23.2989690721649,46.4948453608247,5.67010309278351,24.9484536082474,50.7216494845361,5.05154639175258,24.3298969072165,48.5567010309278
"X.37",5.56701030927835,23.7113402061856,47.0103092783505,5.87628865979381,24.3298969072165,47.9381443298969,5.56701030927835,23.8144329896907,49.4845360824742,4.94845360824742,23.8144329896907,46.1855670103093,5.77319587628866,25.6701030927835,50.6185567010309,4.74226804123711,25.360824742268,52.2680412371134,4.43298969072165,24.7422680412371,47.5257731958763,5.36082474226804,25.4639175257732,46.0824742268041,5.25773195876289,25.2577319587629,51.7525773195876
"X.38",5.36082474226804,23.2989690721649,48.5567010309278,4.84536082474227,24.7422680412371,52.4742268041237,4.32989690721649,25.7731958762887,48.9690721649485,5.36082474226804,25.0515463917526,46.8041237113402,4.94845360824742,26.3917525773196,51.7525773195876,5.36082474226804,25.5670103092783,51.4432989690722,4.63917525773196,22.8865979381443,49.2783505154639,5.05154639175258,23.1958762886598,50.5154639175258,4.5360824742268,24.3298969072165,49.6907216494845
"X.39",6.08247422680412,24.5360824742268,50,5.97938144329897,26.2886597938144,49.5876288659794,5.77319587628866,24.1237113402062,50.6185567010309,5.77319587628866,23.6082474226804,50.7216494845361,4.32989690721649,24.5360824742268,50.2061855670103,5.05154639175258,26.4948453608247,51.4432989690722,4.5360824742268,23.0927835051546,47.6288659793814,4.12371134020619,25.1546391752577,49.1752577319588,5.77319587628866,25.8762886597938,48.9690721649485
"X.40",4.63917525773196,22.1649484536082,48.0412371134021,3.60824742268041,24.8453608247423,48.9690721649485,5.4639175257732,26.9072164948454,48.2474226804124,4.94845360824742,22.5773195876289,46.5979381443299,4.94845360824742,25.2577319587629,50.4123711340206,4.63917525773196,22.8865979381443,47.1134020618557,4.63917525773196,22.1649484536082,48.8659793814433,5.05154639175258,26.4948453608247,48.2474226804124,5.36082474226804,22.4742268041237,49.7938144329897
"X.41",4.94845360824742,22.5773195876289,47.4226804123711,4.84536082474227,27.1134020618557,50.1030927835052,4.63917525773196,25.4639175257732,50,4.5360824742268,24.020618556701,48.2474226804124,3.81443298969072,26.7010309278351,50,5.36082474226804,28.3505154639175,49.3814432989691,4.5360824742268,23.6082474226804,48.5567010309278,5.15463917525773,24.2268041237113,49.6907216494845,5.15463917525773,24.1237113402062,52.2680412371134
"X.42",5.4639175257732,22.2680412371134,48.3505154639175,5.4639175257732,24.020618556701,50,5.25773195876289,25.360824742268,49.8969072164948,4.94845360824742,24.9484536082474,47.5257731958763,5.87628865979381,21.9587628865979,50.1030927835052,6.08247422680412,26.9072164948454,53.0927835051546,5.15463917525773,22.680412371134,46.1855670103093,4.43298969072165,25.8762886597938,48.5567010309278,4.84536082474227,29.3814432989691,50.1030927835052
"X.43",4.5360824742268,24.4329896907216,47.1134020618557,4.74226804123711,27.319587628866,48.659793814433,5.15463917525773,25.4639175257732,49.2783505154639,4.02061855670103,24.5360824742268,46.4948453608247,4.5360824742268,26.3917525773196,49.1752577319588,4.5360824742268,24.9484536082474,51.2371134020619,4.32989690721649,22.7835051546392,49.5876288659794,6.70103092783505,23.6082474226804,50.3092783505155,4.32989690721649,24.7422680412371,50.2061855670103
"X.44",5.05154639175258,24.2268041237113,48.2474226804124,5.25773195876289,22.5773195876289,47.7319587628866,5.25773195876289,22.4742268041237,49.7938144329897,4.43298969072165,23.6082474226804,46.9072164948454,5.25773195876289,25.2577319587629,51.4432989690722,4.74226804123711,26.4948453608247,49.3814432989691,5.25773195876289,23.0927835051546,47.2164948453608,5.15463917525773,26.1855670103093,47.8350515463918,5.25773195876289,27.4226804123711,51.4432989690722
"X.45",5.05154639175258,26.0824742268041,47.1134020618557,4.63917525773196,23.1958762886598,52.1649484536083,5.05154639175258,24.9484536082474,49.7938144329897,4.74226804123711,23.9175257731959,49.6907216494845,4.02061855670103,25.4639175257732,49.4845360824742,6.08247422680412,24.8453608247423,50.3092783505155,4.5360824742268,26.1855670103093,49.6907216494845,4.22680412371134,24.020618556701,51.2371134020619,5.15463917525773,27.8350515463918,52.7835051546392
"X.46",4.32989690721649,26.5979381443299,48.4536082474227,4.32989690721649,25.5670103092783,48.9690721649485,4.43298969072165,25.2577319587629,50.7216494845361,4.22680412371134,22.8865979381443,49.0721649484536,3.91752577319588,23.4020618556701,48.2474226804124,5.25773195876289,26.7010309278351,49.0721649484536,4.02061855670103,22.3711340206186,51.1340206185567,5.87628865979381,27.0103092783505,50.4123711340206,4.12371134020619,25.5670103092783,48.9690721649485
"X.47",4.5360824742268,24.8453608247423,47.8350515463918,4.43298969072165,23.1958762886598,51.7525773195876,4.22680412371134,24.4329896907216,48.3505154639175,3.19587628865979,22.4742268041237,49.4845360824742,4.94845360824742,24.1237113402062,48.2474226804124,6.49484536082474,25.2577319587629,49.0721649484536,5.4639175257732,25.4639175257732,48.659793814433,4.02061855670103,24.4329896907216,48.5567010309278,4.63917525773196,25.6701030927835,50.5154639175258
"X.48",3.81443298969072,26.2886597938144,48.3505154639175,4.22680412371134,25.1546391752577,49.1752577319588,4.5360824742268,23.9175257731959,49.5876288659794,4.12371134020619,23.5051546391753,47.6288659793814,5.87628865979381,25.5670103092783,51.4432989690722,5.25773195876289,23.2989690721649,48.0412371134021,3.29896907216495,22.4742268041237,46.5979381443299,5.56701030927835,23.0927835051546,49.3814432989691,5.25773195876289,25.2577319587629,51.340206185567
